Brazil,India,Russia,United Kindom,United States
22216198.0,35031036.0,8162038.5,8879499.0,45643096.0
22228598.0,35093476.0,8186770.5,8907562.0,45724030.0
22261030.0,35158252.0,8212030.5,8935919.0,45839344.0
22301162.0,35224424.0,8237524.5,8964637.0,45950532.0
22341880.0,35290264.0,8262058.5,8993566.0,46005350.0
22381208.0,35361384.0,8285672.0,9021659.0,46039380.0
22414304.0,35434810.0,8309191.0,9049439.0,46087660.0
22432644.0,35508452.0,8333323.0,9076888.0,46165356.0
22453486.0,35586170.0,8357822.0,9104361.0,46263800.0
22489208.0,35667604.0,8382573.0,9131287.0,46390884.0
22532498.0,35756052.0,8407025.0,9158357.0,46483796.0
22575178.0,35845710.0,8431483.0,9185339.0,46533028.0
22613760.0,35938670.0,8456737.0,9213054.0,46561196.0
22647724.0,36031736.0,8480976.0,9239339.0,46626276.0
22663988.0,36129220.0,8505627.0,9266321.0,46697830.0
22685742.0,36233068.0,8530901.0,9292643.0,46787950.0
22724736.0,36339000.0,8556207.0,9318994.0,46919004.0
22768272.0,36447500.0,8580766.0,9345731.0,46975260.0
22809406.0,36563760.0,8605597.0,9372853.0,47010720.0
22850076.0,36688436.0,8630084.0,9399498.0,47028304.0
22879094.0,36818564.0,8653708.0,9425591.0,47100896.0
22893610.0,36949132.0,8679014.0,9451731.0,47182612.0
22912400.0,37089804.0,8703748.0,9477411.0,47295910.0
22948252.0,37238570.0,8730011.0,9503249.0,47408812.0
22995306.0,37392896.0,8754890.0,9529196.0,47463910.0
23034748.0,37555940.0,8780406.0,9554572.0,47498160.0
23074668.0,37731720.0,8805412.0,9580410.0,47527560.0
23105472.0,37911216.0,8830623.0,9605489.0,47609390.0
23120786.0,38111068.0,8855838.0,9630933.0,47701684.0
23131228.0,38317010.0,8880826.0,9656092.0,47823096.0
23166448.0,38533664.0,8905149.0,9682316.0,47914620.0
